Vendor_Formal_Name,Vendor_DBA,Contact_Name,telephone,fax,Email,certification,Cert_Renewal_Date,Ethnicity,Address1,Address2,City,State,ZIP,MailingAddress1,MailingAddress2,MailingCity,MailingState,MailingZip,Website,Date_Of_Establishment,Aggregate_Bonding_Limit,Signatory_To_Union_Contracts,Business_Description,Goods_Materials_Suplier,Types_of_Construction_Projects,Job_Exp1_Name_of_Client,Job_Exp1_Value_of_Contract,Job_Exp1_Percent_Self_Performed,DATEOFJOB1,EXPERIENCE1,Job_Exp2_Name_of_Client,Job_Exp2_Value_of_Contract,Job_Exp2_Percent_Self_Performed,DATEOFJOB2,EXPERIENCE2,Job_Exp3_Name_of_Client,Job_Exp3_Value_of_Contract,Job_Exp3_Percent_Self_Performed,DATEOFJOB3,EXPERIENCE3,Job_Exp4_Name_of_Client,Job_Exp4_Value_of_Contract,Job_Exp4_Percent_Self_Performed,DATEOFJOB4,EXPERIENCE4
Laurel Marx Design,,Laurel Marx,2129644278,,laurelmarx@gmail.com,WBE,,NON-MINORITY,115 West Broadway,Suite 3S,New York,NY,10004,115 West Broadway,Suite 3S,New York,New York,10004,http://www.laurelmarx.com,09/18/2007,,,"Graphic design studio specializing in print, environmental graphic design, & web design.  Services include marketing, exhibit & website design.",,,Friends of the Old Croton Aqueduct,45000,100,11/01/2014,"Creative direction, exhibit & graphic design, art buying.",Nancy Ownes Studio,11222,100,01/01/2015,"Research for future capital projects, signage, tree trail system.",Center for Cuban Studies,5000,100,06/01/2015,"Web design, analysis of pre-existing sites of clients.",,0,,,
"E.D. Harris, Inc.",,Ethel Harris,3747437157,,edharris2005@aol.com,"MBE,WBE",11/30/2016;11/30/2016,BLACK,23 Meister Boulevard,,Freeport,NY,11520,23 Meister Blvd.,,Freeport,New York,11520,,01/05/2005,,,"Document/records management; manage, create, archive, retention, reporgraphy, imaging document control.",,,DMJM & Harris,0,,01/01/2011,"Digital color drawings, scan to bond sets. Tabs with imprint.",Philip Avello,0,,10/04/2011,Remove viruses from client PC. Update and install new anti-virus program.,,0,,,,,0,,,
SBT Beauty Corporation,Speak-At-Ease,Ella Arolovich,9175970667,212 567-5167,speakatease@gmail.com,WBE,,NON-MINORITY,10 Hillside Avenue,Apt. 4C,New York,NY,10040,10 Hillside Avenue,Apt. 4C,New York,New York,10040,http://www.toplinguists.com,07/14/1998,,,"Speak-At-Ease is an all languages interpreting and translation agency, including american sign language.  The greater majority of our interpreters are certified by NYS. Some are certified by NJ state also, and some are federally certified.",,,Assigned Councel Plan,2500,,01/10/2013,Providing interpretors to 183 attorneys,Board of Elections,500,,06/01/2012,1. checking bengali test 2. translation,Baker McEvoy Morrissey & Moscovits PC,40000,,01/04/2013,Providing interpreters for depositions,,0,,,
Laura Heim Architect PLLC,,Laura Heim,7183604959,718 554-0549,laharch@gmail.com,WBE,,NON-MINORITY,41-03 46th Street,,Sunnyside,NY,11104,41-03 46th Street,,Sunnyside,New York,11104,http://www.heimarchitect.com,03/09/2006,,,"Architectural services; new buildings, additions and interior design with expertise in adaptive reuse/renovation and preservation. The firm provides a full range of design services, including programming, design development, construction documents and construction administration. Work types include residential, commercial and institutional.",,,Woodysun HDFC,1430000,,01/01/2013,"Full architecturl services for renovation of 78-unit senior affordable housing project;includes renovated lobby, elevator cabs/corridors, and meeting room with kitchenette. Exterior work includes new walkways with permeable pavers.",Q-Care Affordable Medical Care,180000,,03/01/2010,"Full architectural services for medical office interior for a new general practice. Accessible ramp entry and six exam rooms, accessible bathorroms, waiting area and nurses' station. Clean, functional design with limited budget.",Sunnyside Resident,377000,,03/01/2013,"Full architectural services for renovation of 1927 two family row house. Interior renovation involved reconfiguring the existing two family layout into a one family house with 3 bedrooms, kitchen, 3 bathrooms, and a powder room",,0,,,
"Tanya Hobson-Williams, P.C.",,Tanya Hobson-Williams,7182104744,,tanya@thobsonwilliamslaw.com,"MBE,WBE",01/31/2017;01/31/2017,BLACK,253-15 80th Avenue,2nd Floor,Floral Park,NY,11004,253-15 80th Avenue,2nd Floor,Floral Park,New York,11004,http://www.thobsonwilliamslaw.com,03/26/2010,,,"A full service law firm providing litigation, collections, consulting and other legal services",,,NYC Dept of Parks,25000,100,01/01/2012,Collection on small claims judgement,Work Place Options,12000,100,06/24/2013,Training for NYS Employees,Qual Tech Corp,60000,100,10/01/2013,Collection/Litigation,,0,,,
Intergraphics Litho Corp.,,Susan Kaden,2126317565,212 949-4173,skaden@ilcny.com,WBE,,NON-MINORITY,589 8th Avenue,4th Floor,New York,NY,11566,589 8th Avenue,4th Floor,New York,New York,11566,http://www.ilcny.com,04/17/1990,,,"Intergraphics can create any print job small to large.  We have design services, digital, offset and large format print work.  We specialize in signage for any event or permanent need.  We pride ourselves in creating, processing and delivering your print needs within your time frame and budget.",,,Greenyc,2608,100,05/12/2015,"Printed table throws, coroplast signs and pull-up banners for the small steps big strides campaign",Flying Tiger Copenhagen,15500,100,05/12/2015,"Adjusted art work to be print ready created signs, banners, wall art and installed them",Major League Baseball,12273,100,05/08/2015,Adjsuted art to be print ready,Shutterstick,67362.87,100,01/05/2015,Helped to create the idea implement the printing and fullfilment all around the globe
Santos Morales,Santos Morales Consulting,Santos Morales,3474230590,,info@santosmorales.com,MBE,05/31/2016,HISPANIC,7230 66th Place,,Glendale,NY,11385,7230 66th Place,,Glendale,New York,11385,http://www.santosmorales.com,03/19/2010,,,"Santos Morales Consulting provides Business Consulting Services for individuals and businesses. These services include, but are not limited to: One-on-one Business Coaching, Business Counseling & Advise, Business Planning & Strategy, Development of Business Plans, Marketing Planning, Financial Projections and Analysis (as they relate to business plans), Training and Development of Employees, and Entrepreneurial Training.",,,Bedford Stuyvesant Family Health Center,1600,,08/30/2009,Training,Gary Lichtenstein,2000,,02/01/2011,Business Planning,Lewis Austin Law PC,1200,,12/01/2012,Website Development,,0,,,
Solid Foundation Ltd.,,Steven Brodnax,7187282812,7187282882,sfoundationltd@aol.com,MBE,09/30/2017,BLACK,34-62 10th Street,,Long Island City,NY,11106,34-62 10th Street,,Long Island City,New York,11106,http://www.sf24hourguard.com,01/01/2001,,,"Watch guard & patrol agency: we provide watch guard service, mobil patrol, foot patrol.",,,Adam European Contractors,62476,,09/23/2013,Guard Patrol: Guards make hourly patrols 209 entries detox system,Phoenix Marine,150044,,06/05/2013,"Guard Patrol: Guards make hourly patrol, log entries detox system",Wdf Inc.,88640,,09/19/2013,Guard Patrol: Prevent unauthorized entry.,,0,,,
"J.M. Electrical, Corp.",,John Medina,2126920700,2126929069,jam@jmelectricalcorp.com,MBE,06/29/2020,HISPANIC,122 East 42nd Street,Suite # 1021,New York,NY,10168,122 East 42nd Street,Suite # 1021,New York,New York,10168,,11/30/1995,,,"Our services include all commercial electrical installations for light, power, HVAC, fire alarm systems, security, A.V. installations, communications and CATV work.",No,"Building Construction (non-Residential); Other Heavy Civil Construction Work, i.e. Plants, Tunnels",Johnson Controls Inc.,92280,100,08/01/2014,"Installation of security system, security cameras and wiring.",Siemens Industry Inc.,1320128,100,09/01/2014,Installation of automatic control system.,Unity Electric Co. Inc.,65000,100,03/01/2014,Installation of speaker strobes.,,0,,,
NHG Associates Inc.,,Neil Godden,7186085018,,nhgassociates@yahoo.com,MBE,08/31/2015,BLACK,10577 Flatlands 1st Street,,Brooklyn,NY,11236,10577 Flatlands 1st Street,,Brooklyn,New York,11236,,10/01/2003,,,Program & Contract Management Consulting Services.,,,Brian's Gemini Electronics,0,,01/01/2012,NA,Leonard's Associates Jewelery,0,,01/01/2012,NA,,0,,,,,0,,,
"Sage Document Services Group, LLC",,Kevin Williams,2123028876,2123028722,kwilliams@sagecorponline.com,MBE,09/29/2019,BLACK,2 West 46th Street,Ste. 407,New York,NY,10036,2 West 46th Street,Ste. 407,New York,New York,10036,http://sagecorponline.com,11/05/2007,,,"We provide litigation support services. Our services include high volume printing, scanning and file conversion services.",,,New York City Transit Authority,7600,100,04/01/2014,Scanned approximately 40 boxes with bates numbering. Also printed sets for production.,New York City Law Department,89000,100,07/01/2014,Contract for reprographic services.,New York Public Library,35000,100,07/01/2014,Developed a web portal for users to send print jobs.,New York Law Department,20000,100,07/01/2013,Scanned 45 boxes of files to PDF.
Divine Global Inc,,Isaac Ukpai,6462875602,347 597-9451,divineglobe@optimum.net,MBE,11/30/2016,BLACK,20 W Mosholu Pkwy S.,# 21 D,Bronx,NY,10468,20 W Mosholu Pkwy S.,# 21 D,Bronx,New York,10468,,12/15/2008,,,Food Distribution Code #96240; Sea Food (Fresh/dried) Code #38500,,,Gitto Sons Health Food,9766,,12/01/2012,Supplied fish,ODABRO African Market,4600,,11/29/2012,Supplied fish,Dept. Environmental Protection (DEP),8969,,06/28/2012,Supply of work shoes,,0,,,
"Hi-Tech Fire & Safety, Inc.",,Karen Mandel,5163561344,631 777-5171,k.mandel@hitechfireny.com,WBE,,NON-MINORITY,158 Allen Blvd.,Unit A,Farmingdale,NY,11735,158 Allen Blvd.,Unit A,Farmingdale,New York,11735,http://www.hitechfireny.com,09/13/1989,,,"Distributor of Fire Safety equipment for fire, rescue and emergency service workers (PPE).",,,FDNY-New York City Fire Department,5000000,,01/01/2010,Supplier of protective clothing for firefighters,Yonkers Fire Department,270560.88,,04/01/2011,Supplier of protective clothing for firefighters,Port Washington Fire Department,280385.88,,03/19/2012,127 sets of turnout gear sold to departement for fire protection,,0,,,
"Raman and Oundjian Engineering and Inspection Service,PC",,George Rafi Oundjian,9734171240,973-450-5164,rafi@roengineers.com,MBE,12/31/2016,ASIAN,259 Stephens St,,Belleville,NJ,07109,259 Stephens street,,Belleville,New Jersey,07109,http://www.roengineers.com,02/22/2006,,,"RO Engineering, PC is a full service Structural Engineering and Energy Services company. We do: Building Envelope Surveys, Energy Audits, Structural Design, Retro-commissioning, project Cost and Lifecycle Ananlysis, Monitoring and Maintenance.",,,Netta Atchitects,11730000,,05/01/2010,Complete design services,Koeppel Management,83050,,01/01/2010,Complete design preparation,First Ocean Realty,37549,,01/01/2007,Complete design preparation,,0,,,
"American Technical Services, Inc.",,Nitin K. Dave,3472827137,516-742-6719,atscorp@gmail.com,MBE,08/31/2018,ASIAN,59 Hilldale Road,,Albertson,NY,11507,59 Hilldale Road,,Albertson,New York,11507,http://www.atsvc.com,02/26/1997,,,"Consulting services, electrical, mechanical, environmental, industrial hygiene, occupational safety consulting, mold, asbestos & safety consulting, computer software, medical supplies, safety & laboratory supplies.",,,Federal Occupational Health,55000,,11/01/2011,Industrial Hygiene Assessment Services for US Army,NYC HPD,100000,,07/01/2012,Radiation Dosimetry Services,Airtek Environmental,50000,,01/01/2013,Industrial Hygiene Services,,0,,,
"The Rainbow Design Group, Inc.",,Gustavus Ademu-John,7182308133,718 230-8138,sryrain@aol.com,MBE,10/31/2017,BLACK,1360 Fulton Street,Studio 517,Brooklyn,NY,11216,1360 Fulton Street,Studio 517,Brooklyn,New York,11216,http://www.rainbolddesigngroup.com,03/23/1995,,,"Finish flooring; carpet, resilient flooring, laminating floors",,,Medgar Evers,0,,08/01/2009,Furnished install resilient flooring,St John Univ,0,,08/01/2011,Furnished install flooring,Goldman Sachs,0,,06/01/2011,Wood flooring,,0,,,
The Junkpros Corporation,,Gael Monteil,7182175705,718 512-6941,gary@thejunkpros.com,MBE,05/31/2019,BLACK,114-39 212th Street,,Cambria Heights,NY,11411,114-39 212th Street,,Cambria Heights,New York,11411,http://www.thejunkpros.com,06/16/2006,,,"The JunkPros Corporation removes trash, junk, garbage, rubbish such as old furniture, appliances, construction and renovation debris etc. from both residential and commercial properties.",,,Public Administration of New York,2003.3,100,02/01/2014,Removal of household items from apartment.,William Moses Company Inc.,3558.56,100,09/01/2013,Removal of C & D misc. items.,Regus Management,5171.56,100,01/01/2014,Removal of office furniture.,Phoenix House of Long Island,8762.5,100,06/01/2013,"Removal of misc. items, furniture, C & D etc."
"Hard Headed Film Productions, LLC",,Anre Garrett,3475584047,,info@hardheadedmedia.com,MBE,01/31/2019,BLACK,350 West 37th Street,Suite 27H,New York,NY,10018,350 West 37th Street,Suite 27H,New York,New York,10018,http://www.hardheadedmedia.com,10/27/2009,,,"Full service production & media agency specializing in commercial videos, film & television production, website design & application and transmedia & social media strategies.",,,"Ispyfilms, LLC",300000,,05/01/2011,Development & production of motion picture for worldwide theatrical release & distribution,Piers End Productions,28000,,08/01/2009,Development & production of motion picture for worldwide theatrical release & distribution,,0,,,,,0,,,
The Peebles Corporation,TPC Development,Eladio Izquierdo,2123551655,,eizquierdo@peeblescorp.com,MBE,02/28/2018,BLACK,745 Fifth Avenue,Suite 1610,New York,NY,10151,"745 Fifth Avenue, Suite 1610",Suite 1610,New York,New York,10151,http://www.peeblescorp.com,01/01/1984,,,"Commercial and Residential Real Estate DevelopmentManagement, Hospitality",,,2100 MLK Associate LLC,10000000,,01/01/1989,Dev. ownership of mgt. of mixed used commercial 4-5 story office building with a total net.,Bath Club Capital Partners,230000000,,11/01/2005,Residential Condo & Private Club,900 F. Street Associate LLC,105000000,,07/01/1999,Development Marriott Convention Center,,0,,,
Toll International LLC,,Nure Aiza,2129204115,413 513-4240,nure.aiza@tollintl.com,MBE,04/30/2018,HISPANIC,303 5th Avenue,Suite 211,New York,NY,10016,PO Box 407,Suite 3F,New York,New York,10274,http://www.tollintl.com,10/31/2005,,,"Toll International LLC is a construction scheduling consultant devoted to public works and management of construction processes.  We provide scheduling services, cost management, construction inspections, training services, construction management, resident engineerning and database programming.",,,MTA / NYCT,0,,04/09/2009,Scheduling,Port Authority Engineering,0,,01/01/2012,Contract mgmt,Port Authority Engineering,0,,01/01/2012,Scheduling,,0,,,
NYNEX Construction Inc.,,Valbona Koxna,7183143467,,nynexconstructionny@gmail.com,WBE,,NON-MINORITY,1967 Ocean Avenue,Suite 1A,Brooklyn,NY,11230,1967 Ocean Avenue,Suite 1A,Brooklyn,New York,11230,http://n/a,03/08/2011,,,Construction,No,Building Construction (non-Residential); Residential Building Construction,ABM Management,14000,100,10/01/2014,"Grind out all pointing, all dirt and debris to be removed and disposed of, re-point same area with mortar cement, replace any bricks that may get damaged in the grinding process, replace any bricks that may get damaged in the grinding proce",ABM Management,13500,100,06/01/2014,"seal all metal around 2 windows on the third floor with MPI-Sealant, repair the same 2 windows, where necessary plaster and paint, clean the entire roof surface on the valley, cut, dry and seal all pockets of water on the roof, seal the gap",ABM Management,12000,100,12/01/2013,"Remove the entire existing concrete slab approx. 5' in depth, all dirt and debris to be removed into cubic yard containers, level off with loose gravel prior to installation, install new quick dry concrete slab approx. 5' in depth, smooth o",ABM Management,127800,100,08/01/2014,"Install 1' x 3' wood panels directly to building using concrete anchors, install 3/4' TriBuilt fanfold foil one side insulation with fasteners, install one layer of Tyvek house wrap, install all necessary Tyvek tape, install the first layer"
"Great Performances/Artists As Waitresses, Inc.",Great Performances,Mindy Birnbaum,2127272424,212 727-2820,mindy.birnbaum@greatperformances.com,WBE,,NON-MINORITY,304 Hudson Street,2nd Floor,New York,NY,10013,304 Hudson Street,2nd Floor,New York,New York,10013,http://www.greatperformances.com,11/26/1979,,,"Food service company which provides catering, event planning, cafe, restaurant, concession and food management services.",,,Jazz at Lincoln Ctr,1545000,,12/31/2011,Catering,International players Champioships Inc,6997000,,03/01/2011,Catering,NY Mayors Office,351000,,12/31/2011,Catering,,0,,,
"The Loren Group, Ltd.",,Loren Grober,3025750919,302 575-0387,lgmozik@earthlink.net,WBE,,NON-MINORITY,807 West 20th Street,,Wilmington,DE,19802,807 West 20th Street,,Wilmington,Delaware,19802,,07/26/1996,,,"Provide steel plate & pipe 7 structuralÂ¿s & piling fabricate to dwgs, blast & paint, roll, bend, shear, burn.",,,MG Forge,0,,09/01/2011,Provide foundation piles,DFP Foundation,0,,02/01/2011,Provide foundation tapertube piles,Simpson & Brown,0,,01/01/2013,Provide foundation piles,,0,,,
Matt & Nuri Incorporated,,Omatie Gbenebitse,7184984763,718 498-4763,mattandnuri@msn.com,MBE,05/31/2016,BLACK,983 Utica Avenue,,Brooklyn,NY,11203,983 Utica Avenue,,Brooklyn,New York,11203,,07/11/2008,,,Restaurant supply business.,,,Dhaka Grocery and Halal,981,,02/10/2009,Janitorial and cleaning supplies,Paradise Deli,734,,12/16/2009,Janitorial and cleaning supplies,Sunshine Kitchen,960,,03/06/2010,"Janitorial, cleaning and restaurant supplies.",,0,,,
Hamilton Contracting Corp.,,Michael White,3476669522,718 282-8700,mrmwhite@yahoo.com,MBE,09/30/2016,ASIAN,606 Coney Island,Apt 2,Brooklyn,NY,11218,606 Coney Island,Apt 2,Brooklyn,New York,11218,,04/21/2004,,,"Coatings, brick painting & repair masonry, concrete sidewalks, reconstruction, masonry walls and painting.",,,Rudy Valentino,7500,,03/01/2009,Brick replacement & painting; brick joint; applied sealant for waterproofing elastro tac coating,Glen Goldberger,5000,,09/01/2010,"Gutter replacement, metal copping, coulking",Windsor at Liberty House,16650,,03/01/2009,Cut out concrete and remove top soil.  Pour new grout over existing concrete,,0,,,
"NJ & C Associates, Inc.",,Nancy Castro,8453061833,845 306-1814,ncastro@njcassociates.com,"MBE,WBE",12/31/2015;12/31/2015,HISPANIC,9 Fair Street,,Carmel,NY,10512,9 Fair Street,,Carmel,New York,10512,http://www.njcassociates.com,07/01/2007,,,"Furnish & maintain construction management services for field offices to include: staffing, payroll processing, document control field office trailer setup including furnishing & equipment, contract admin, compliance, union benefits, EBO reporting A/P.",,,NYS DOT,1667635,,12/30/2013,Alexander Hamilton Bridge,NYS DOT,82000,,12/08/2011,Ramp X Taconic SP,MTA Metro North,24000,,07/07/2011,Irvington & Greystone Stations,,0,,,
"Blackstone Contracting Group, Inc.",,Carlos Uribe,7183574257,718 357-4257,carlosuribe@blackstonecontractinggroup.com,MBE,12/31/2016,HISPANIC,7-05 152nd Street,,Whitestone,NY,11357,7-05 152nd Street,,Whitestone,New York,11357,,07/09/2007,,,"Full service painting company with documented experience in a wide range of painting services. Our industrial and commercial services include blasting and painting bridges, ground tanks, elevated tanks, transmission.",,,NY Racing Assoc.,114000,,04/30/2009,Painting box seats and executive offices,The Alexander,500000,,02/27/2009,"Paint residential apartments, kodex coating on concrete",1570 Prospect Pl.,100000,,08/30/2007,"Blasting/painting of steel, paint residential apartment building",,0,,,
"Vision Education and Media, LLC",RoboFun,Natasha Smith,2122450444,,accounting@vemny.org,WBE,,NON-MINORITY,2672 Broadway,Loft A,New York,NY,10025,2672 Broadway,Loft A,New York,New York,10025,http://vemny.org,06/10/2009,,,RoboFun offers,,,Department of Education,26865,100,07/01/2014,Provide an in-school robotics program to students. Stem enrichment at foreign language academy of global studies,Department of Education,24658,100,07/01/2014,Provide after school robotic program to students at P.S. 156 Waverly,NIA Community Services,31570,100,09/29/2014,Provide after school NXT Program to 15 229 & 1598 students,Department of Education,34875,100,07/01/2014,Provide In-School Robotics Program for students in District 1
"Eaton Electric, Inc",,Gary Eaton,7189949212,718 994-9264,geaton@eatonelectricinc.net,MBE,10/31/2018,BLACK,2345 Hollers Avenue,,Bronx,NY,10475,2345 Hollers Avenue,,Bronx,New York,10475,http://www.eatonelectricinc.net,02/16/1983,,Electric IBEW 3,Electrical contruction.,,,Five Star Electric Corp.,200000,,03/01/2014,Electrical work - temp. fire alarm,Five Star Electric Corp.,375000,,03/01/2014,Electrical - Lighting,Five Star Electric Corp.,5223200,,07/01/2014,Installation of electrical pipe & wire.,,0,,,
"The New Crystal Restoration Enterprises, Inc.",,Rosemary Cordasco,9149370500,9149377582,rosemary@crystalrestoration.com,WBE,,NON-MINORITY,109 South Regent Street,,Port Chester,NY,10573,109 South Regent Street,,Port Chester,New York,10573,http://www.crystalrestoration.com,05/13/2008,,,"Property damage restoration company. We provide our restoration services to residential and commercial clients that have sustained water, fire, smoke and mold damage. We use green/eco-friendly cleaning.",,,Lockwood Associates,0,,10/01/2009,Restoration services demolition and cleaning services,CB Richard Eills,0,,10/01/2009,Restoration services deordization and cleaning services.,RMR Realty,0,,09/01/2009,Mold remedation and reconstruction.,Flatbush Refomed Church,0,,12/01/2011,Fire damage restoration services
"S & L Industries, Inc.",,Sharon Craddock,7183855000,718 385-5602,sl.industries2@verizon.net,"MBE,WBE",06/30/2017;06/30/2017,BLACK,9201 Ditmas Avenue,,Brooklyn,NY,11236,9201 Ditmas Avenue,,Brooklyn,New York,11236,,01/27/1994,,,"Miscellaneous and structural steel, fabrication, installation, stairs, grating, metal deck, wire mesh enclosures, guardrails, handrails, wrought iron fence, partitions",,,,0,,,,,0,,,,,0,,,,,0,,,
"Koried, LLC",,Cheryl Marrow,3472972205,347 297-2205,cmarrow@koried.com,"MBE,WBE",03/31/2019;03/31/2019,BLACK,875 Morrison Avenue,Suite 7G,Bronx,NY,10473,875 Morrison Avenue,Suite 7G,Bronx,New York,10473,http://www.koried.com,03/09/2006,,,"Koried, LLC provides strategic invitation-only conference planning services to qualified institutional investors of public pension funds, unions and financial services firms. Services include goals and objectives, outline agenda, budget, use of proprietary database, send out emails, creation of registration material, coordinate speakers, on-site registration, and any other administration duties needed.",,,FIS Group,5000,,09/01/2011,Consulted for their client conference.,Herndon Capital,10000,,02/01/2012,Sponsors of Koried Conference 2012 & 2013.,PSK Strategy,5000,,01/01/2013,Consulted for Institutional Investor's Forum.,,0,,,
Vantasia Window Fashions & Interiors LLC,,Jorge Espinosa,2015990931,2015990346,jorge@vantasiallc.com,MBE,04/29/2020,HISPANIC,555 Broad Street,Suite C,Glen Rock,NJ,07452,555 Broad Street,Suite C,Glen Rock,New Jersey,07452,http://www.vantasialtd.com,,,NYC DC Carp 926,"Supply & install all types of window treatments: blinds, shades, drapery including all applicable hardware, i.e. drapery tracks, mounting boards and motorized version of blinds and shades.",,,NYC Comptroller,6989.32,100,02/12/2015,Supply and install chain and clutch solar shades and remove old treatments.,DCAS,18370.62,100,02/23/2015,Supply and install 1' 8 gauge miniblinds per blind schedule.,ABAX Inc.,43247.4,100,09/22/2014,Supply and install NYCSCA shades per spec 12500.,Biltmore General Contractor,70000,100,06/07/2013,"Supply and install NYCSCA style shades per spec 12501 - Supply new drapery hardware, clean existing drapes and re-hang."
Kanta Electric Corporation,,Prakash Kapadia,7183979527,718 779-6535,pk@kantaelectric.com,MBE,05/31/2018,ASIAN,34-21 56th Street,,Woodside,NY,11377,34-21 56th Street,,Woodside,New York,11377,http://www.kantaelectric.com,01/01/1991,20000000,IBEW 3,"Established in 1991 Kanta's capacities and services cover all aspects of Electrical work including New Construction , Renovations, Tenants fit-up, Engineering, Design and Maintenance, Fire Alarms, Fire Detection, HVAC control wiring, Access control. PA System, Power distribution systems, Public addressing, sound, data, and communications systems, Switchgear and motor control preventive maintenance, Telephone/date communication system.",,,Brooklyn College,0,,07/01/2012,"Data and telephone, FA Sys, Power Distribution emergency generator security & AV System",NYC Dept of Sanitation,0,,07/01/2012,"New construction, high voltage power, security & gas detection system",Brooklyn Navy Yard Bldg No. 92,0,,03/01/2012,"New construction 2000 A Service Riser, Panel, lighting, Fire Alarm, AV Security, Card Access System, Data & Tel Sys.",,0,,,
Berry Industrial Group Inc.,,Debra Berry,8453538338,845 353-8333,debra.berry@berryindustrial.com,WBE,,NON-MINORITY,30 Main Street,,Nyack,NY,10960,30 Main Street,,Nyack,New York,10960,http://www.berryindustrial.com,01/01/1984,,,"National manufacturer and distributor of industrual wood and plastic pallets, skids, lumber and dunnage",,,Con Edison,9055,,02/01/2012,Truckload wood pallets,Con Edision,7509,,11/01/2011,Truckload wood pallets,Defense Logistics Agency,123908,,01/01/2012,13 truckloads of government spec wood pallets,,0,,,
WSL Marketing Inc.,WSL Strategic Retail,Wendy Liebmann,2129247780,2129147780,info@wslstrategicretail.com,WBE,,NON-MINORITY,307 Seventh Avenue,# 1707,New York,NY,10001,307 Seventh Avenue,# 1707,New York,New York,10001,http://www.wslstrategicretail.com,10/18/2010,,,We are retail strategists who offer retailers and manufacturers strategic solutions to marketing problems. We help bring shoppers to stores and buyers to brands across the spectrum of all industries.,,,L'Oreal,509000,95,12/01/2014,"Syndicated reports, 10-12 Gotta See Stores, monthly news letter and consulting.",Emerson,219000,95,12/01/2014,"Team support, customized research presentations and webinars to sales team.",Novartis,210000,95,12/01/2014,"Syndicated reports, 10-12 Gotta See Stores, monthly newsletter and consulting.",,0,,,
"United Crane and Rigging Services, Inc.",,Kim Smith,7187266111,718 726-4163,UnitedWeRig@aol.com,WBE,,NON-MINORITY,11-14 35th Avenue,,LIC,NY,11106,11-14 35th Avenue,,LIC,New York,11106,http://www.UnitedRiggingNY.com,12/18/2007,50000,"Op Eng 15, Op Eng 14",Crane rental w/operator-Trucking-Warehousing-Rigging-Demo of Machanical Equipment,,,NYC DCAS AWL Industires,250000,,02/18/2013,Hoist Unit to Roof,Marriot Hotel,95691.85,,09/22/2012,Hoist Generator to Roof,SUNY,120000,,09/01/2011,Demo & Rigging of Mechanical Equipment,,0,,,
"A&S Electric, Inc.",,Francis Richards,7188211211,718 821-1255,aselectricinc@aol.com,MBE,02/28/2019,BLACK,952 Flushing Avenue,Suite #3,Brooklyn,NY,11206,952 Flushing Avenue,Suite #3,Brooklyn,New York,11206,http://www.aselectricincnyc.com,09/14/1989,1500000,,"A&S Electric, Inc. was founded in 1989, and has a long history of successfully providing exceptional electrical communication and low voltage installation services, 110/220,227/480 Electrical service electric sub feeder, transformer lighting, conduit and raceway.",,,NYC Board of Ed,2500000,,10/01/2012,Installation repair of electrical feeders.,The Public Theater,550000,,05/01/2010,Electrical service lighting outlets etc.,Brooklyn Museum,1500000,,04/01/2011,Lighting/outlets/conduit.,,0,,,
Taylormade Contracting LLC,,Joycelyn Taylor,7185139144,7185775411,taylormadecontractingllc@gmail.com,MBE,07/31/2017,BLACK,1205 Remsen Avenue,,Brooklyn,NY,11236,1205 Remsen Avenue,,Brooklyn,New York,11236,http://www.taylormadenyc.net,11/01/2012,,,"Taylormade Contracting LLC is a general contracting company specializing in residential and commercial construction. We serve the New York City Tri-State area and Nassau county, on new construction as well as small and large remodeling and renovation projects. Our specialties include: Kitchen and bathroom renovations, drywall, tiling, hardwood floors, masonry and painting.  We are a full service General Contracting company and perform all trades.",,,Brook Club Condo Association,175000,80,06/01/2013,"Total build out of basement apartments destroyed by Hurricane Sandy. Included new walls, ceilings, bathrooms, kitchens, electrical, light fixtures, carpeting, tiles, etc. Worked on multiple units at one time.",Nora Ann Thompson,225000,80,01/01/2013,"Installed new structural beam and new foudation in cellar. Total rebuild of 1st floor including new hardwood floors, kitchen, deck and washroom.",Sara Cherrington,75700,80,07/01/2013,"Rebuild cellar and 1st floor, new walls, ceiling, bathrooms, wood flooring, electrical and light fixtures.",,0,,,
"Mudu MultiMedia Enterprises, Inc.",,Walter Mudu,7185741458,718 574-1577,wt@mudumultimedia.com,MBE,05/31/2018,BLACK,14 Covert Street,# 1,Brooklyn,NY,11207,1369 Broadway Box 21-0849,,Brooklyn,New York,11221,http://www.mudumultimedia.com,03/30/2006,,,"Services include grassroots marketing, customer relationship, marketing (CRM), interactive promotions, advertising, event execution, innovative research methodologies, creative reverberation & digital activation, branding messaging strategies & consultation.",,,Remy Cointreau USA,9000,,02/01/2013,Celebrity talent advisement and ideation for remy brands,"Starting Something, Inc",5438,,10/01/2012,"Talent showcase presentation EXW, BIT Booth MGMT",Chas Jackson,1500,,02/04/2013,Talent Showcase Presentation Exhibit Booth MGMT,,0,,,
